year,month,day,hour,minute,second,recnt_Humidity,recnt_Temperature
2025,9,3,18,57,0,11,"22,2"
2025,9,3,20,1,30,12,"22,3"
2025,9,3,21,6,0,11,"22,3"
2025,9,3,22,10,30,10,"22,3"
2025,9,3,23,15,0,11,"22,9"
2025,9,4,0,19,30,10,"22,5"
2025,9,4,1,24,0,11,"22,9"
2025,9,4,2,28,30,10,"22,5"
2025,9,4,3,33,0,10,"22,1"
2025,9,4,4,37,30,10,22
2025,9,4,5,42,0,8,"21,8"
2025,9,4,6,46,30,10,"21,6"
2025,9,4,7,51,0,10,"21,3"
2025,9,4,8,55,30,10,"21,3"
2025,9,4,10,0,0,10,"21,2"
2025,9,4,11,4,30,10,"21,1"
2025,9,4,12,9,0,10,"21,1"
2025,9,4,13,13,30,11,"21,5"
2025,9,4,14,18,0,11,"21,6"
2025,9,4,15,22,30,12,22
2025,9,4,16,27,0,13,"22,4"
2025,9,4,17,31,30,10,22
2025,9,4,18,36,0,10,"22,1"
2025,9,4,19,40,30,10,"22,2"
2025,9,4,20,45,0,10,"22,3"
2025,9,4,21,49,30,10,"22,3"
2025,9,4,22,54,0,10,"22,2"
2025,9,4,23,58,30,10,"22,1"
2025,9,5,1,3,0,11,"22,1"
2025,9,5,2,7,30,10,22
2025,9,5,3,12,0,10,22
2025,9,5,4,16,30,10,22
2025,9,5,13,57,0,10,"21,2"
2025,9,5,15,1,30,10,22
2025,9,5,16,6,0,10,22
2025,9,5,17,10,30,10,"22,2"
2025,9,5,18,15,0,10,"22,2"
2025,9,5,19,19,30,10,"22,1"
2025,9,5,20,24,0,10,"22,3"
2025,9,5,21,28,30,10,"22,2"
2025,9,5,22,33,0,8,"22,1"
2025,9,5,23,37,30,8,22
2025,9,6,0,42,0,8,22
2025,9,6,1,46,30,10,"21,8"
2025,9,6,2,51,0,10,22
2025,9,6,3,49,14,11,"22,4"
